cat__Tone_of_Ad_emotional,cat__Tone_of_Ad_funny,cat__Tone_of_Ad_serious,cat__Weather_cloudy,cat__Weather_rainy,cat__Weather_sunny,cat__Coffee_Consumption_high,cat__Coffee_Consumption_low,cat__Coffee_Consumption_medium,num__id,num__Id,num__Web_GRP,num__TV_GRP,num__Facebook_GRP,num__No_of_Web_Banners,num__Avg_Temperature,num__No_of_Rabbits,num__Network_Five_G,num__No_of_iPhone_14_Sold,num__No_of_Big_Cities,num__Health_Index,num__Sustainability_Index,num__Choc_Capital_Distance,num__No_of_Competitors,num__Import_Regulations,num__Time_in_Region,num__Percent_Internet_Access,num__Percent_Uni_Degrees,num__Percent_Unemployed,num__Gender,num__Avg_No_of_Cust_Complaints,num__Avg_Customer_Age,num__sales
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.5798042553058458,-0.5798042553058458,-0.012294081781838113,0.7969693958420239,-0.14352816822725864,0.715481822396262,0.24162195570052017,-0.8649249723578756,0.8301741920760904,-1.2080914201803306,-0.9427402467179681,1.761948042363818,-0.3814320605309749,0.196011392850266,1.004905787254669,0.5269564826270037,1.3652604131857182,0.8814107885577447,-0.24337696842566986,-0.12329040922180251,-0.9710845387231486,-0.4056998783708254,-1.6210445907829005,1.4423625125580635
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.5097903304831717,-1.5097903304831717,0.37189597390064527,0.39688435776871867,-0.14352816822725864,-0.7135764114178434,0.24162195570052017,0.02920835537252615,0.8301741920760904,-1.641271610683238,-0.9427402467179681,-0.25288378083123697,0.1936737171219884,-0.34424205418224135,-0.9654977171662513,0.5269564826270037,-1.0000843756162856,-0.7257998320590514,0.24337696842566986,0.2718711587967955,-0.9710845387231486,0.32493186067290025,1.0717839589389297,-0.995610014302576
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.6826501957577675,-1.6826501957577675,0.7560860295831286,-0.803370756451197,1.2863065247387924,0.715481822396262,0.06378440243713455,-1.7590583000882771,-1.2045664747770721,-0.41392773759166707,-0.9427402467179681,0.8888542523126275,1.343885272427915,-0.8179974685124056,0.01970403504420878,-1.8976899098285345,-0.8755925446267064,0.01598968514870065,-0.4867539368513397,-0.9136135452589985,1.029776461393229,0.258510793487107,1.6447262035605956,-0.9854355168127384
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.2836250923542976,1.2836250923542976,1.140276085265612,0.39688435776871867,-1.0627076137054343,-0.7135764114178434,0.06378440243713455,2.2645416746985303,-1.2045664747770721,-0.8471079280945744,0.025828499910081047,-0.7901722670165849,0.11151574888585077,0.07920914888086548,0.01970403504420878,-1.8976899098285345,1.7387359061544558,0.8814107885577447,0.9735078737026794,-0.7160327612496995,-0.9710845387231486,-1.136331617414551,-0.7616312238504015,1.928907179569826
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.10472081118155378,0.10472081118155378,0.7560860295831286,-1.0700941151667338,-0.2456592177248337,1.4300109393033147,-1.0032409171431793,0.47627501923772697,-1.2045664747770721,-0.1973376423402134,0.025828499910081047,1.22465955617847,0.686621526538814,1.3361253317728214,0.01970403504420878,0.5269564826270037,-0.2531333896788107,-0.4785366596564674,0.0,-1.1111943292682975,-0.9710845387231486,-0.9370684158571713,-0.1886889792287355,-0.4368900473286405
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.6005474391387974,-0.6005474391387974,0.37189597390064527,-2.670434267459955,-0.14352816822725864,-0.7135764114178434,1.6643223818076052,2.7116083385637313,0.8301741920760904,-0.2695343407573646,0.9943972465381301,1.2918206169516386,0.44014762183040124,-1.3155267909071382,1.004905787254669,0.5269564826270037,-0.004149727699652403,1.1286739609603287,-0.4867539368513397,-1.1111943292682975,1.029776461393229,-1.0699105502287578,0.09778214308209748,-0.21422460167820484
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.5270763170106312,-1.5270763170106312,-0.7806741931468049,-0.9367324358089655,2.0012238712218178,-1.428105528324896,-1.3589160236699505,-0.7159027510694752,0.8301741920760904,-0.41392773759166707,0.9943972465381301,0.21724364458094256,-1.613801584073039,0.7135245799949255,1.990107539465129,-1.8976899098285345,0.9295390047221912,-0.23127348725388336,1.2168848421283494,-1.3087751132775967,-0.9710845387231486,0.5906161294160732,0.3269590409307639,1.0553485187506984
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.8944092101056103,-0.8944092101056103,-0.012294081781838113,0.6636077164842554,1.1841754752412172,-1.428105528324896,0.4194595089639058,1.9664972321217298,-1.2045664747770721,-0.5583211344259695,0.025828499910081047,1.1574984954053016,-1.203011742892351,-0.380764289759694,0.01970403504420878,0.5269564826270037,-0.19088747418402113,-0.10764190105259136,-0.7301309052770095,0.07429037478749649,1.029776461393229,0.258510793487107,1.4728435301740959,-0.15077922630854815
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.387341011519055,1.387341011519055,0.7560860295831286,-0.13656235966235497,0.06073393076789151,0.715481822396262,0.4194595089639058,1.3704083469681287,-1.2045664747770721,-0.05294424550591096,-1.9113089933460172,-0.38720590237757396,-0.6279059652393878,-0.9137821995551588,0.01970403504420878,0.5269564826270037,0.680555342743033,0.01598968514870065,0.4867539368513397,1.4573558628525896,-0.9710845387231486,-1.999805490829863,-1.563750366320734,0.7082385545606529
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.043938672954598655,-0.043938672954598655,1.5244661409480953,-0.13656235966235497,-0.14352816822725864,-0.7135764114178434,-0.2918907040896367,-0.11981386591587413,-1.2045664747770721,0.1636458497455427,0.9943972465381301,0.8216931915394591,-0.2992740922948373,0.9550537039552492,-0.9654977171662513,-1.8976899098285345,0.9917849202169808,0.2632528575512847,-0.24337696842566986,-1.3087751132775967,-0.9710845387231486,-0.7378052142997915,1.4155493057119293,1.0018219226209748
